placa,chassi,associado,cpf,dt_nascimento,marca,modelo,ano_de_fabricacao,valor_fipe,linha,dt_contrato,situacao,telefone,email,estado,cidade,ingested_at
NTJ-4417,D1VIFIK63ILKBMOPI,MARIA MELO FERREIRA,394.388.397-96,18/12/1979,OUTROS,Besta GS Grand 3.0 8V 16L Diesel,2005,"R$ 35.753,00",Leves,22/5/2025,INADIMPLENTE,(58) 94243-8915,ana.souza.costa@ficticio.com.br,RO,Vitorino,2026-02-05 01:54:33.557723 UTC
TXR-9704,4Q2P166D5SOH551V8,JOÃO RIBEIRO PEREIRA,643.821.835-50,16/04/1997,CITROEN,C3 Excl./Excl.Solar./Sonora 1.6 Flex Aut,2011,"R$ 40.483,00",Leves,25/6/2025,ATIVO,88944928538,camila.ferreira.rocha@hotmail.com,PR,Céu Azul,2026-02-05 01:54:33.557723 UTC
CHZ-0363,9G585MI2RP5PM1704,AMANDA COSTA ARAÚJO,807.325.865-91,22/02/1990,CITROEN,C3 GLX 1.4/ GLX Sonora 1.4 Flex 8V 5p,2011,"R$ 25.995,00",Leves,2/1/2026,ATIVO,(68) 90385-9449,rafael.carvalho.souza@gmail.com,SC,Roca Sales,2026-02-05 01:54:33.557723 UTC
XXZ-0407,A96MTH5T8YOFHZT7G,CAMILA  GOMES  MARTINS,206.917.999-59,24/11/1998,CITROEN,C3 GLX 1.4/ GLX Sonora 1.4 Flex 8V 5p,2011,"R$ 25.920,00",Leves,16/1/2025,ATIVO,(48) 97936-8,maria.ribeiro.araújo@gmail.com,SC,Cianorte,2026-02-05 01:54:33.557723 UTC
LAG-2751,GEPDMBL4HDG2Q7QSW,_RICARDO   ALMEIDA   SILVA,293.472.483-12,18/07/1969,CITROEN,C3 Tendance 1.5 Flex 8V 5p Mec.,2015,"R$ 39.123,00",Leves,23/12/2024,INATIVO,(90) 99648-8,rodrigo.melo.martins@empresa.com,RS,Cascavel,2026-02-05 01:54:33.557723 UTC
TJX-0500,SY9Y6APPBMZ3EF69O,GuStAvo rOcHa sIlVa,199.731.559-44,19/03/1987,CITROEN,C3 Tendance 1.5 Flex 8V 5p Mec.,2013,"R$ 34.542,00",Leves,7/5/2025,SUSPENSO TEMPORARIAMENTE,80901396187,,PR,Roca Sales,2026-02-05 01:54:33.557723 UTC
YUF-2641,PQ4PKLR91OJD38XCX,AMANDA  SOUZA  OLIVEIRA,326.973.577-35,22/11/1990,CITROEN,C4 LOUNGE S 1.6 Turbo Flex Aut.,2016,"R$ 51.461,00",Leves,11/12/2025,ATIVO,TEL: (16) 96943-2117,rodrigo.lima.pereira@outlook.com,RS,Ibaiti,2026-02-05 01:54:33.557723 UTC
UJT-1841,6MGVPK28VBAFQ818N,TIAGO   CARDOSO   MARTINS^,961.424.542-30,23/08/1999,OUTROS,C5 Exclusive 2.0 16V 4p Aut.,2007,"R$ 20.928,00",Leves,21/2/2024,INATIVO,(83) 95783-6,,PR,Canoinhas,2026-02-05 01:54:33.557723 UTC
XVM-8463,Y8R2SEL1EXCQNPGKE,PEDRO LIMA COSTA,179.410.952-93,24/01/1992,OUTROS,CAPTIVA SPORT FWD 3.0 V6 24V 268cv 4x2,2011,"R$ 39.033,00",Leves,5/11/2025,INADIMPLENTE,(40) 91264-2529,letícia.martins.melo@outlook.com,SC,Céu Azul,2026-02-05 01:54:33.557723 UTC
UPJ-1486,NTC1TDKRH1XYIIR1X,*raFaEl  Almeida  AlmeIDa,807.341.944-89,14/03/1971,OUTROS,COBALT LTZ 1.4 8V FlexPower/EconoFlex 4p,2012,"R$ 35.206,00",Leves,5/2/2024,INATIVO,(21) 97237-8,gabriel.costa.martins@empresa.com,RS,São Lourenço do Oeste,2026-02-05 01:54:33.557723 UTC
KWF-4757,UN8K7LYINHV65033E,ANA LIMA GOMES,745.735.545-91,20/11/2001,OUTROS,COBALT LTZ 1.4 8V FlexPower/EconoFlex 4p,2014,"R$ 39.419,00",Leves,12/3/2025,INADIMPLENTE,(22) 91605-9658,beatriz.oliveira.ribeiro@outlook.com,SC,Foz do Iguaçu,2026-02-05 01:54:33.557723 UTC
BMP-4622,W0I7V8CD0Q9TB35JG,GU_STAVO FERREIRA CARVALHO´,127.516.701-37,27/04/1994,JEEP,COMPASS S T270 1.3 TB 4x2 Flex Aut.,2022,"R$ 161.901,00",Leves,24/09/2025,INATIVO,,larissa.almeida.souza@gmail.com,PR,Bandeirantes,2026-02-05 01:54:33.557723 UTC
KKT-5755,4RU3PM62BSI8021VY,LUCAS CARVALHO LIMA,153.127.290-84,24/03/1990,FIAT,CRONOS DRIVE 1.3 8V Flex,2022,"R$ 65.736,00",Leves,10/11/2025,INATIVO,(18) 90883-5223,tiago.rocha.silva@hotmail.com,PR,Palmeira das Missões,2026-02-05 01:54:33.557723 UTC
CIW-9585,SIG9MS8NMELVN2PG4,AMANDA RIBEIRO BARBOSA,858.838.543-75,20/01/1993,VOLKSWAGEN,CROSSFOX 1.6 Mi Total Flex 8V 5p,2008,"R$ 29.818,00",Leves,26/09/2025,ATIVO,(41) 95602-3081,rafael.silva.ferreira@ficticio.com.br,PR,Londrina,2026-02-05 01:54:33.557723 UTC
WPH-6011,WS4K42KW111V1AYK3,LUCAS SOUZA MARTINS,886.136.175-37,14/02/1974,VOLKSWAGEN,CROSSFOX 1.6 Mi Total Flex 8V 5p,2006,"R$ 29.975,00",Leves,10/12/2025,ATIVO,,camila.santos.souza@hotmail.com,PR,Candói,2026-02-05 01:54:33.557723 UTC
DJK-8726,WAGBVDOEFNW7K3AQ7,JULIA  ROCHA  ARAÚJO,956.686.822-49,17/03/1972,CHEVROLET,CRUZE LT 1.8 16V FlexPower 4p Aut.,2014,"R$ 57.854,00",Leves,13/08/2025,INATIVO,(60) 90247-4,rafael.rocha.barbosa@hotmail.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
QDF-6386,NBRY0KI9T10H5HBVW,ana silva melo,836.789.582-30,17/05/1969,CHEVROLET,CRUZE LT 1.8 16V FlexPower 4p Aut.,2014,"R$ 57.854,00",Leves,24/7/2025,INATIVO,(50) 96246-3,,SP,Paiçandu,2026-02-05 01:54:33.557723 UTC
AQL-8826,555GGPV2JDHFN1ML3,$GABRieL ARaÚjo MArTInS,706.132.817-27,07/08/1974,CHEVROLET,CRUZE Sport LTZ 1.4 16V TB Flex 5p Aut.,2017,"R$ 88.179,00",Leves,12/5/2025,ATIVO,14937446554,fernanda.cardoso.barbosa@outlook.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
STV-5328,UNWH8IRD4Y77OWNF6,RAFAEL PEREIRA ALMEIDA,249.393.456-98,28/02/2000,CHEVROLET,Celta 1.0/Super/N.Piq.1.0 MPFi VHC 8V 3p,2000,"R$ 11.714,00",Leves,28/11/2025,ATIVO,(68) 90435-2111,rafael.oliveira.ferreira@empresa.com,RS,Pinhalão,2026-02-05 01:54:33.557723 UTC
BML-7555,8PFBLBAZSO5OR96YK,´MA`TEUS SANTOS RIBEIRO,147.452.336-67,11/11/2000,CHEVROLET,Celta 1.0/Super/N.Piq.1.0 MPFi VHC 8V 3p,2002,"R$ 12.406,00",Leves,9/6/2025,INADIMPLENTE,,,SP,Londrina,2026-02-05 01:54:33.557723 UTC
FRU-8583,WP0F1YYI2SVBDQQVD,BRUNA CARVALHO ROCHA,586.320.894-37,23/06/1966,CHEVROLET,Celta Life 1.4 MPFI 8V 85cv 3p,2006,"R$ 15.770,00",Leves,10/9/2024,INATIVO,(83) 90364-5,bruna.souza.ribeiro@outlook.com,PR,Tatuí,2026-02-05 01:54:33.557723 UTC
PYC-5533,QSJUOMAQCBIP0OI6C,TIAGO CARVALHO ALMEIDA,727.469.831-36,10/11/1996,CHEVROLET,Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p,2014,"R$ 34.045,00",Leves,13/08/2025,INATIVO,(44) 92370-1359,beatriz.gomes.martins@empresa.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
XST-7884,XGEAD3UX5ADBD5KQH,GUSTAVO GOMES PEREI~RA*,427.456.733-27,24/02/2000,CHEVROLET,Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p,2013,"R$ 30.451,00",Leves,30/7/2024,INATIVO,(41) 92460-1,rafael.lima.rodrigues@ficticio.com.br,PR,Cambé,2026-02-05 01:54:33.557723 UTC
RQH-8818,B13MFV9QBSRRW0BDS,AMA_NDA ALMEIDA RIBEIRO^,482.600.311-56,05/01/1982,CHEVROLET,Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p,2013,"R$ 32.164,00",Leves,2/1/2025,INATIVO,,,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
NCR-3032,Q9ME6YO67B7K1CXPX,BEATRIZ ARAÚJO ALMEIDA,443.287.924-58,15/01/2004,CHEVROLET,Celta Super 1.0 MPFI 8V FlexPower 3p,2007,"R$ 16.823,00",Leves,31/10/2024,INATIVO,(50) 93198-5365,mateus.melo.ferreira@hotmail.com,SC,Clevelândia,2026-02-05 01:54:33.557723 UTC
GEJ-9934,QE05CZ6ZM2EA7HI7C,julia  carvalho  oliveira,704.917.331-45,12/07/1976,OUTROS,Cerato 1.6 16V Aut.,2011,"R$ 41.959,00",Leves,20/9/2025,ATIVO,TEL: (27) 97370-9557,,SP,São José dos Pinhais,2026-02-05 01:54:33.557723 UTC
FPJ-8984,DVZEN6VB2AZMUK56R,beatriz pereira carvalho,579.643.702-98,20/12/1980,OUTROS,Cerato 1.6 16V Mec.,2010,"R$ 37.912,00",Leves,23/2/2024,INATIVO,(85) 92526-6,,PR,Prudentópolis,2026-02-05 01:54:33.557723 UTC
BAN-1842,CRF424QZ41NXA568T,FERNANDA GOMES PEREIRA,821.254.714-74,25/10/1966,HONDA,Civic Sed. LXL/ LXL SE 1.8 Flex 16V Aut.,2010,"R$ 48.913,00",Leves,02/10/2025,ATIVO,(15) 90914-7072,lucas.almeida.carvalho@empresa.com,PR,Ibaiti,2026-02-05 01:54:33.557723 UTC
AMA-7981,ZV3Z03291V2Y4D2WS,ANA~ ALMEIDA SANTOS´,654.335.998-97,09/01/1971,HONDA,Civic Sed. LXL/ LXL SE 1.8 Flex 16V Aut.,2011,"R$ 50.857,00",Leves,31/10/2024,INATIVO,(68) 92492-2,,PR,Blumenau,2026-02-05 01:54:33.557723 UTC
PEE-8753,GE4Q1OBPYE3KAXPTX,AMANDA GOMES SANTOS,259.243.936-57,04/07/1972,HONDA,Civic Sedan LX 1.7 16V 115cv Mec. 4p,2001,"R$ 20.542,00",Leves,18/11/2025,INADIMPLENTE,(85) 97943-9285,tiago.melo.pereira@empresa.com,PR,Concórdia,2026-02-05 01:54:33.557723 UTC
KJA-0010,PSDA0ALBA6WMDZTHL,_PEDRO RIBEIRO BARBOSA,266.138.865-38,20/06/1969,OUTROS,Classic Life/LS 1.0 VHC FlexP. 4p,2013,"R$ 28.016,00",Leves,2/12/2024,INATIVO,14929923700,,SC,Ibaiti,2026-02-05 01:54:33.557723 UTC
QGF-1466,6WUBJS4VI6441YDX2,RAFAEL RODRIGUES ARAÚJO,968.853.113-28,13/04/1982,OUTROS,Clio Hi-Flex 1.0 16V 5p,2011,"R$ 22.334,00",Leves,13/08/2025,ATIVO,(77) 96512-9598,gabriel.cardoso.almeida@ficticio.com.br,PR,Três Barras do Paraná,2026-02-05 01:54:33.557723 UTC
BUX-3887,4SQ8JNKXGW6RDDDJM,#ERROR!,232.736.672-30,22/05/1981,OUTROS,Clio Hi-Flex 1.0 16V 5p,2010,"R$ 21.160,00",Leves,10/5/2024,INATIVO,(93) 99492-8,amanda.almeida.araújo@outlook.com,PR,Bagé,2026-02-05 01:54:33.557723 UTC
KJQ-3246,EGS8N57PLV629YTBJ,PEDRO BARB@OSA BARBOSA,879.853.957-17,09/08/1973,OUTROS,Clio Sed.RT/Privil.1.0/1.0 Hi-Pow.16V 4p,2003,"R$ 11.638,00",Leves,31/10/2025,ATIVO,(96) 92129-8,,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
KRI-8564,6UGBUMFLWKXQPLXIR,~JUliA CArDOSO SoUza,108.616.810-91,24/11/1994,TOYOTA,Corolla ALTIS/A.Premiu. 2.0 Flex 16V Aut,2015,"R$ 72.926,00",Leves,15/1/2026,ATIVO,(58) 90894-9,gabriel.ribeiro.carvalho@empresa.com,PR,Japira,2026-02-05 01:54:33.557723 UTC
KUB-8667,3L9QCWH4FBVZY6CY4,MARIA   RIBEIRO   OLIVEIRA´@,147.231.965-40,28/08/1988,TOYOTA,Corolla GLi 1.8 Flex 16V Aut.,2016,"R$ 75.170,00",Leves,15/8/2025,ATIVO,(36) 92639-7,bruna.gomes.rocha@ficticio.com.br,PR,Ibaiti,2026-02-05 01:54:33.557723 UTC
PAJ-1234,PJE5JXB9J3YAJ0HKJ,LUCAS ALVES SANTOS,859.739.640-20,21/03/1985,TOYOTA,Corolla GLi 1.8 Flex 16V Mec.,2011,"R$ 54.272,00",Leves,5/11/2025,ATIVO IRREGULAR,(99) 98267-1627,letícia.souza.costa@empresa.com,PR,Cambé,2026-02-05 01:54:33.557723 UTC
WBN-0726,EGYWTZQFS7DLWH63U,BEATRIZ LIMA MARTINS,987.165.567-74,10/09/1993,TOYOTA,Corolla XEi 1.8/1.8 Flex 16V Aut.,2003,"R$ 32.026,00",Leves,5/11/2025,ATIVO,(30) 96155-2876,joão.ribeiro.rodrigues@gmail.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
XHQ-2796,AEZ1SDZTCILWUIJA8,!LUCAS CARVALHO ALMEIDA,368.514.339-18,19/03/1984,TOYOTA,Corolla XEi 1.8/1.8 Flex 16V Aut.,2009,"R$ 52.822,00",Leves,11/08/2025,ATIVO,,lucas.carvalho.melo@outlook.com,PR,Londrina,2026-02-05 01:54:33.557723 UTC
SDF-5648,BX7W1J3A1MD2DADZD,GUSTAVO RIBEIRO CARDOSO~,829.429.150-12,28/12/1981,TOYOTA,Corolla XEi 1.8/1.8 Flex 16V Aut.,2005,"R$ 36.709,00",Leves,20/1/2026,ATIVO,TEL: (75) 91501-9081,ana.ribeiro.carvalho@outlook.com,PR,Clevelândia,2026-02-05 01:54:33.557723 UTC
JJC-3583,JTIDXSEIMAXBQT5TK,RODRIGO CARDOSO ARAÚJO,498.763.216-90,09/05/1975,CHEVROLET,Corsa Hat. Maxx 1.4 8V ECONOFLEX 5p,2012,"R$ 29.755,00",Leves,16/5/2025,INATIVO,98997226970,gustavo.ribeiro.souza@empresa.com,PR,Carlópolis,2026-02-05 01:54:33.557723 UTC
WBK-4163,3HVUFLC1OEL9EJIAB,RODRIGO SOUZA ARAÚJO,151.173.342-24,10/08/2002,CHEVROLET,Corsa Hat. Premium 1.4 8V ECONOFLEX 5p,2009,"R$ 27.949,00",Leves,25/4/2025,INATIVO,(18) 91469-3808,letícia.rodrigues.barbosa@gmail.com,PR,Clevelândia,2026-02-05 01:54:33.557723 UTC
ELF-7906,LL9B0Q7DTE5JQB2ZY,ANA FERREIRA FERREIRA,696.774.333-25,28/10/1994,CHEVROLET,Corsa Hatchback 1.0 MPFI 8V 71cv 5p,2002,"R$ 12.630,00",Leves,5/3/2024,INATIVO,(57) 94778-2967,julia.costa.rodrigues@empresa.com,PR,Ibaiti,2026-02-05 01:54:33.557723 UTC
THS-6664,DCJ6CFMUSRYOSUS0N,GABRIEL   LIMA   ALM_EIDA,762.704.454-94,08/05/1974,CHEVROLET,Corsa Sed Class.Life 1.0/1.0 FlexPower,2008,"R$ 18.070,00",Leves,15/8/2025,ATIVO,27983438558,,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
JSR-6446,I6ESQ96AIJ4NMRUAD,rafael lima martins+,715.976.150-98,06/01/1987,CHEVROLET,Corsa Wagon GL 1.6 MPFI 4p,1997,"R$ 11.210,00",Leves,22/10/2025,ATIVO,(62) 99433-4,lucas.santos.santos@gmail.com,PR,Rolândia,2026-02-05 01:54:33.557723 UTC
NYW-1583,8LYOHK5B21ZE13J43,LARISSA SANTOS COSTA,330.434.788-90,04/04/1974,HYUNDAI,Creta Attitude 1.6 16V Flex Aut.,2019,"R$ 82.169,00",Leves,11/09/2025,INADIMPLENTE,,maria.lima.cardoso@hotmail.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
QCQ-8143,YOVDFG4XDZJA5K0I9,RICARDO COSTA OLIVEIRA,309.367.616-25,08/11/1985,RENAULT,DUSTER Zen 1.6 16V Flex Aut.,2019,"R$ 70.727,00",Leves,2/4/2025,ATIVO,(60) 98989-9668,larissa.almeida.oliveira@hotmail.com,PR,Ibaiti,2026-02-05 01:54:33.557723 UTC
DIV-8463,IU2J8DW1Z25N2V8ZC,GABRIEL SILVA SILVA,772.228.369-68,21/02/1969,LAND ROVER,Discovery Sport HSE Lux. 2.0 4x4 /Flex,2015,"R$ 108.002,00",Leves,16/1/2026,ATIVO,(48) 95128-1647,lucas.oliveira.pereira@outlook.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
ZLZ-5645,63ANC8CMVMKQBMKIK,BRUNA MELO ALVES,436.544.722-95,21/07/1991,OUTROS,Durango Crew 3.6 24V 4x4 Aut.,2012,"R$ 86.859,00",Leves,20/10/2025,ATIVO,(19) 95617-9757,larissa.cardoso.almeida@outlook.com,PR,Londrina,2026-02-05 01:54:33.557723 UTC
UUZ-2038,HJXR7UE586V7KJJSM,GABRIEL   COSTA   SANTOS,990.349.728-61,23/01/1979,OUTROS,EDGE SEL 3.5 V6 24V FWD Aut.,2013,"R$ 61.302,00",Leves,28/11/2025,ATIVO,,pedro.souza.martins79@gmail.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
WXL-1866,6PKSVHROHUBMYVWOS,LARISSA PEREIRA ROCHA,398.238.214-61,04/01/2002,TOYOTA,ETIOS CROSS 1.5 Flex 16V 5p Aut.,2017,"R$ 61.138,00",Leves,15/7/2025,ATIVO,,amanda.gomes.almeida@hotmail.com,PR,Herval,2026-02-05 01:54:33.557723 UTC
ATA-1303,EVGOXTCFO5UJL3TPH,peDRO  RODrigues  @OLiVEiRA,558.853.689-36,10/09/1978,TOYOTA,ETIOS X 1.3 Flex 16V 5p Aut.,2019,"R$ 59.455,00",Leves,9/12/2024,INATIVO,77969091893,,PR,Londrina,2026-02-05 01:54:33.557723 UTC
LAY-4197,1PLR79DKLD0SU8AE5,leTÍCia aRAújo ferReIrA^,566.701.944-39,04/09/1979,TOYOTA,ETIOS X 1.3 Flex 16V 5p Mec.,2014,"R$ 42.981,00",Leves,17/10/2025,ATIVO,,,SC,Mandaguaçu,2026-02-05 01:54:33.557723 UTC
TTC-1788,IGJW0ZJQ97JCICE0T,joão  pereira  pereira,762.688.773-27,25/07/1991,FORD,EcoSport S 1.6 16V Flex 5p,2013,"R$ 51.601,00",Leves,7/10/2025,ATIVO IRREGULAR,62913118890,,PR,Cruz Alta,2026-02-05 01:54:33.557723 UTC
BXE-9411,7LP8BSSCUU0QKV961,LUCAS SOUZA MELO,612.560.718-16,13/10/1998,FORD,EcoSport TITANIUM 2.0 16V Flex 5p,2013,"R$ 52.715,00",Leves,21/11/2025,ATIVO,(79) 91260-5949,larissa.gomes.rodrigues@empresa.com,SC,Inácio Martins,2026-02-05 01:54:33.557723 UTC
LMV-9121,Z4TJOBS9JIRDD1QMN,AMANDA RIBEIRO CARDOSO,975.956.701-54,09/12/1980,FORD,EcoSport TITANIUM 2.0 16V Flex 5p Aut.,2017,"R$ 61.497,00",Leves,13/1/2026,ATIVO,(38) 94365-8415,gustavo.lima.lima@ficticio.com.br,PR,Curitiba,2026-02-05 01:54:33.557723 UTC
SUR-4835,27JX57RCK80N9I00D,maTEUs feRREiRa pEREIRa,753.181.663-40,23/12/1999,FORD,EcoSport XL 1.6/ 1.6 Flex 8V 5p,2009,"R$ 32.301,00",Leves,12/11/2025,ATIVO,(53) 96421-3,,SP,Pinheiro Machado,2026-02-05 01:54:33.557723 UTC
LTQ-5179,06FX4FX1CC9U4ODFY,ricard@o rodrigues souza,178.502.343-45,20/09/1982,OUTROS,Elantra 2.0 16V Flex Aut.,2016,"R$ 72.376,00",Leves,20/12/2024,INATIVO,TEL: (25) 95270-4363,mateus.carvalho.lima@ficticio.com.br,MT,Cascavel,2026-02-05 01:54:33.557723 UTC
QQU-7248,BUVC419PXT5VN4E0M,!letícia a@lves ferreira,653.554.631-59,27/04/1970,OUTROS,FLUENCE Sedan Privilège 2.0 16V FLEX Aut,2011,"R$ 39.938,00",Leves,10/1/2026,ATIVO,,fernanda.santos.martins@hotmail.com,SC,Cascavel,2026-02-05 01:54:33.557723 UTC
ETD-3966,APCBNYYB0H8JR0290,BEATRIZ  PEREIRA  SANTOS,912.600.993-90,13/07/1996,FORD,Fiesta 1.0 8V Flex/Class 1.0 8V Flex 5p,2009,"R$ 19.910,00",Leves,14/11/2024,ATIVO,TEL: (40) 98094-9055,,RS,Clevelândia,2026-02-05 01:54:33.557723 UTC
SKZ-7089,PSIHL3XAIV5UNJC4O,PEDRO CARVALHO CARVALHO,938.796.350-55,18/06/2002,FORD,Fiesta 1.6 8V Flex/Class 1.6 8V Flex 5p,2012,"R$ 32.079,00",Leves,20/3/2025,ATIVO,,fernanda.santos.rodrigues@gmail.com,SC,Maringá,2026-02-05 01:54:33.557723 UTC
JZN-0873,T8C9GG139VBKVGRM8,JULIA RODRIGUES LIMA,523.624.569-28,09/08/1973,FORD,Fiesta Sedan SE 1.0 8V Flex 4p,2013,"R$ 30.555,00",Leves,28/11/2025,ATIVO,(84) 95595-9493,tiago.lima.lima@gmail.com,SP,Tatuí,2026-02-05 01:54:33.557723 UTC
VHP-2058,SKM6I96W4ZCXC7PO4,MATEUS MARTINS LIMA,910.790.771-99,06/06/1969,HONDA,Fit LX 1.4/ 1.4 Flex 8V/16V 5p Aut.,2014,"R$ 51.145,00",Leves,28/11/2024,INATIVO,(82) 97755-5,camila.costa.rocha@empresa.com,RS,Capão do Leão,2026-02-05 01:54:33.557723 UTC
HRY-8875,OF3GQMFNSWPGCY5A7,TIAGO SILVA COSTA,457.301.739-65,16/12/2003,FORD,Focus 1.6 S/SE/SE Plus Flex 8V/16V 5p,2013,"R$ 40.134,00",Leves,18/10/2025,ATIVO,TEL: (43) 91827-4003,gabriel.santos.ribeiro@hotmail.com,PR,Ibaiti,2026-02-05 01:54:33.557723 UTC
YEW-1091,8KST36NZ2WPQ8MFP5,lucas rocha gomes,775.548.688-70,26/06/1973,FORD,Focus Fastback TIT./T.PLUS 2.0 Flex Aut.,2017,"R$ 66.255,00",Leves,5/11/2025,ATIVO IRREGULAR,(41) 96173-7,,PR,Clevelândia,2026-02-05 01:54:33.557723 UTC
EXO-6292,2SSM6FVD4GOOPGV8Y,LARISSA ALVES PEREIRA,296.264.711-70,06/11/2000,FORD,Focus TITA/TITA Plus 2.0 Flex 5p Aut.,2014,"R$ 52.344,00",Leves,10/1/2026,ATIVO,(20) 99449-4938,ana.rocha.martins@hotmail.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
IIH-7269,UVN57J0XS64BYM2JI,PEDRO RIBEIRO MELO,587.737.831-10,21/06/1976,VOLKSWAGEN,Fox 1.0 Mi Total Flex 8V 3p,2010,"R$ 23.155,00",Leves,10/6/2024,INATIVO,(38) 95331-5106,gustavo.santos.lima@hotmail.com,SC,Cascavel,2026-02-05 01:54:33.557723 UTC
HYX-5233,CRK43Y1EEVOAZEP77,RAFAEL PEREIRA MELO,210.424.775-15,05/03/1980,VOLKSWAGEN,Fox Comfortline 1.6 Flex 8V 5p,2016,"R$ 48.807,00",Leves,5/5/2025,ATIVO,(83) 93520-2692,fernanda.alves.carvalho@hotmail.com,RS,Londrina,2026-02-05 01:54:33.557723 UTC
NWH-2112,8QUF3S34ZX3ZWB0G8,#TIAGO CARDOSO ROCHA,183.338.313-72,07/04/1996,VOLKSWAGEN,Fox Plus 1.6Mi/ 1.6Mi Total Flex 8V 4p,2008,"R$ 28.922,00",Leves,3/2/2025,ATIVO,38953419230,,GO,Cascavel,2026-02-05 01:54:33.557723 UTC
EAU-7380,DJIIXU9IF8YOHUZER,_LARISSA OLIVEIR^A MELO,690.407.720-25,20/09/1994,OUTROS,Fusca,1975,"R$ 24.078,00",Leves,15/8/2025,ATIVO IRREGULAR,82968264129,julia.melo.ribeiro@empresa.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
KDB-9912,0937J5BAK56WK4NWS,AMANDA GOMES SANTOS,347.721.468-15,13/05/1969,OUTROS,Fusion Titanium 2.0 GTDI Eco. Awd Aut.,2013,"R$ 73.678,00",Leves,29/2/2024,INATIVO,(33) 99223-2978,letícia.costa.silva@hotmail.com,RS,Quitandinha,2026-02-05 01:54:33.557723 UTC
QZM-5089,WVS6A1Q03QPOFH06Z,FERNaNda FErreiRA GoMEs,504.695.105-93,15/07/2004,OUTROS,Fusion Titanium 2.0 GTDI Eco. Fwd Aut.,2013,"R$ 72.069,00",Leves,21/08/2025,ATIVO,,bruna.gomes.costa@outlook.com,PR,Cianorte,2026-02-05 01:54:33.557723 UTC
ZBB-6479,NIR8FSIHJLCOW9JDI,%JULIA   CARVALHO   LIMA,803.520.336-64,12/03/1968,VOLKSWAGEN,Gol (novo) 1.0 Mi Total Flex 8V 4p,2006,"R$ 24.764,00",Leves,21/10/2025,INATIVO,TEL: (34) 96861-5755,rafael.barbosa.gomes@ficticio.com.br,PR,Ribeirão Pires,2026-02-05 01:54:33.557723 UTC
QON-7146,MPJ33C0AG8AAZQ6L2,BRUNA RIBEIRO MELO,604.118.639-45,05/02/1999,VOLKSWAGEN,Gol (novo) 1.0 Mi Total Flex 8V 4p,2009,"R$ 24.031,00",Leves,15/08/2025,ATIVO,(22) 93047-2321,rodrigo.ferreira.costa@hotmail.com,PR,Londrina,2026-02-05 01:54:33.557723 UTC
GMB-0250,ZR4UIRYXHVI4YYP6J,@cAmilA arAÚjo RoChA,876.569.562-80,01/05/1998,VOLKSWAGEN,Gol (novo) 1.0 Mi Total Flex 8V 4p,2010,"R$ 22.775,00",Leves,14/10/2024,INATIVO,TEL: (15) 92337-6900,,RS,Balsa Nova,2026-02-05 01:54:33.557723 UTC
FEN-1468,9396LQZJUVTRXKEUT,MATEUS CARDOSO ALVES,261.835.365-14,20/07/1970,VOLKSWAGEN,Gol (novo) 1.0 Mi Total Flex 8V 4p,2010,"R$ 22.821,00",Leves,10/06/2024,INATIVO,,joão.oliveira.martins@ficticio.com.br,PR,Telêmaco Borba,2026-02-05 01:54:33.557723 UTC
DRY-8963,UUVI6CO9VG9OBHBUR,JOÃO PEREIRA CARDOSO,990.300.886-28,27/06/1983,VOLKSWAGEN,Gol (novo) 1.0 Mi Total Flex 8V 4p,2010,"R$ 24.031,00",Leves,11/7/2025,INATIVO,,joão.lima.alves@outlook.com,PR,Irati,2026-02-05 01:54:33.557723 UTC
JVH-8132,SK3QCG3WA2LT2AITV,LarisSa MArTiNS mARtins,372.827.375-35,22/07/1997,VOLKSWAGEN,Gol (novo) 1.0 Mi Total Flex 8V 4p,2012,"R$ 27.389,00",Leves,28/8/2025,INATIVO,,,PR,Ribeirão Pires,2026-02-05 01:54:33.557723 UTC
KZI-9058,SBG9FKGDYB8MJBB4I,RICARDO RIBEIRO ARAÚJO,368.307.707-38,08/02/1989,VOLKSWAGEN,Gol (novo) 1.0 Mi Total Flex 8V 4p,2013,"R$ 30.553,00",Leves,21/11/2024,INATIVO,(59) 97605-5640,ana.rodrigues.costa@ficticio.com.br,PR,Cambé,2026-02-05 01:54:33.557723 UTC
