status,dt_contrato,nome_associado,placa,modelo_veiculo,fipe,linha,cidade,uf,telefone,anotacoes,dt_envio,dt_entrega,status_envio,termo_assinado,status_instalacao,auto_eletrica_compativel,valor_instalacao,imei_aparelho,empresa_rastreamento,login,senha,ingested_at,dt_instalacao
ATIVO,08/01/2026,mAT^EUS  soUZA  roCHA,DHB-2929,SPIN LT 1.8 8V Econo.Flex 5p Aut.,"R$ 70.480,00","Vans, Pick-ups, Furgões, SUV's, Utilitários Caminhonetes e Caminhões até 4T",Cascavel,PR,60920583029,,12/01/2026,19/01/2026,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",523138862982732.0,Azimute,gabriel.pereira.santos@gmail.com,2198256.0,2026-02-05 01:42:11.737363 UTC,22/01/2026
ATIVO,15/01/2026,LARISSA SOUZA RIBEIRO,KCF-3856,SPIN LT 1.8 8V Econo.Flex 5p Aut.,"R$ 118.309,00","Vans, Pick-ups, Furgões, SUV's, Utilitários Caminhonetes e Caminhões até 4T",Cascavel,PR,(93) 94952-6594,,19/01/2026,26/01/2026,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 90,00",341509862650393.0,Azimute,beatriz.gomes.alves@empresa.com,73075830.0,2026-02-05 01:42:11.737363 UTC,29/01/2026
INATIVO,18/05/2023,RODRIGO CARDOSO RIBEIRO,MOK-2783,Grand Siena ATTRACTIVE 1.0 Flex 8V 4p,"R$ 52.636,00",Leves,Cascavel,PR,(18) 97924-6057,,21/05/2023,29/05/2023,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",214448646543585.0,Azimute,larissa.ferreira.martins@gmail.com,66774120.0,2026-02-05 01:42:11.737363 UTC,01/06/2023
ATIVO,10/08/2025,RODRIGO   MARTINS   ROCHA,JBQ-5214,ONIX HATCH LT 1.0 12V Flex 5p Mec.,"R$ 66.433,00",Leves,Cascavel,PR,,,14/08/2025,22/08/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",591325610695685.0,Azimute,ricardo.costa.carvalho77@outlook.com,58452365.0,2026-02-05 01:42:11.737363 UTC,25/08/2025
ATIVO,20/10/2025,MARIA PEREIRA MELO,RKQ-8625,ONIX HATCH LT 1.0 12V Flex 5p Mec.,"R$ 64.126,00",Leves,Cascavel,PR,(15) 97486-6620,,22/10/2025,31/10/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",569082791545339.0,Azimute,julia.lima.ferreira@ficticio.com.br,33874654.0,2026-02-05 01:42:11.737363 UTC,02/11/2025
ATIVO,13/01/2026,AMANDA RIBEIRO CARDOSO,LMV-9121,EcoSport TITANIUM 2.0 16V Flex 5p Aut.,"R$ 61.497,00",Leves,Cascavel,PR,(38) 94365-8415,,15/01/2026,23/01/2026,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",247024503769825.0,Azimute,gustavo.lima.lima@ficticio.com.br,22720859.0,2026-02-05 01:42:11.737363 UTC,23/01/2026
ATIVO,08/01/2026,MARIA  LIMA  M~ARTINS,LGX-1857,BIZ 110i,"R$ 15.022,00",Motos,Cascavel,PR,82993156195,,10/01/2026,19/01/2026,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",227151284395056.0,Azimute,lucas.araújo.oliveira@ficticio.com.br,90073761.0,2026-02-05 01:42:11.737363 UTC,20/01/2026
ATIVO,25/06/2025,JOÃO ALVES ROCHA,HZX-2119,Grand Siena ESSENCE 1.6 Flex 16V,"R$ 42.258,00",Leves,Cascavel,PR,(12) 99759-3435,,29/06/2025,08/07/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",865401052175119.0,Azimute,maria.ferreira.costa@hotmail.com,56346689.0,2026-02-05 01:42:11.737363 UTC,08/07/2025
ATIVO,12/08/2025,RICARDO ARAÚJO CARDOSO,HGY-9296,ONIX HATCH LT 1.0 12V Flex 5p Mec.,"R$ 69.304,00",Leves,Cascavel,PR,43955078002,"29/08/25 - Primeiro contato realizado, associado confirmou a instalação
29/08/25 - Rastreador enviado
08/09/25 - Cobrança para instalação realizada",10/09/2025,17/09/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",452967550396595.0,Azimute,lucas.lima.rodrigues@ficticio.com.br,95448311.0,2026-02-05 01:42:11.737363 UTC,19/09/2025
ATIVO,14/03/2025,MATEUS ARAÚJO OLIVEIRA,HFR-7148,S10 P-Up Advant. 2.4/2.4 MPFI F.Power CD,"R$ 92.614,00","Vans, Pick-ups, Furgões, SUV's, Utilitários Caminhonetes e Caminhões até 4T",Cascavel,PR,TEL: (87) 95230-5780,"26/08/25 - Primeiro contato realizado, associado confirmou a instalação
29/08/25 - Rastreador enviado
08/09/25 - Cobrança para instalação realizada",12/09/2025,20/09/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",619009702399933.0,Azimute,gabriel.gomes.ribeiro80@hotmail.com,49270633.0,2026-02-05 01:42:11.737363 UTC,25/09/2025
ATIVO,01/12/2025,RAFAEL FERREIRA COSTA,JBU-7346,Hilux CD SRV D4-D 4x4 3.0 TDI Dies,"R$ 104.591,00","Vans, Pick-ups, Furgões, SUV's, Utilitários Caminhonetes e Caminhões até 4T",Cascavel,PR,(39) 95864-3241,,02/12/2025,9/12/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",84033051062254.0,Azimute,lucas.rodrigues.gomes@hotmail.com,46079748.0,2026-02-05 01:42:11.737363 UTC,12/12/2025
INATIVO,04/09/2025,PEDRO SOUZA MARTINS,VPL-3925,Accelo 915C 2p (diesel),"R$ 172.737,00",Pesados,Cascavel,PR,(50) 98383-2045,"27/08/25 - Primeiro contato realizado, associado confirmou a instalação
29/08/25 - Rastreador enviado
08/09/25 - Cobrança para instalação realizada",11/09/2025,21/09/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",217759177460670.0,Azimute,bruna.rodrigues.barbosa@outlook.com,23153094.0,2026-02-05 01:42:11.737363 UTC,25/09/2025
ATIVO,12/04/2025,RODRIGO MELO CARDOSO,ETZ-0356,Vectra GLS/Expres.2.2/ 2.0 e 2.0 CD 8V,"R$ 27.464,00",Leves,Cascavel,PR,(13) 94720-9326,VAI CANCELAR A PROTEÇÃO,14/04/2025,23/04/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",847228437645471.0,Azimute,larissa.souza.martins@hotmail.com,2282473.0,2026-02-05 01:42:11.737363 UTC,26/04/2025
INATIVO,14/12/2023,FERNANDA COSTA CARVALHO,MPI-2542,ONIX HATCH LT 1.0 12V Flex 5p Mec.,"R$ 72.944,00","Vans, Pick-ups, Furgões, SUV's, Utilitários Caminhonetes e Caminhões até 4T",Cascavel,PR,(16) 96211-7492,"Trocou a titularidade da proteção para MATHEUS RODRIGUES MOTA DA CRUZ
Ambos inativos
INATIVO: REMOVER APARELHO",17/12/2023,24/12/2023,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",459359510553771.0,Azimute,bruna.rodrigues.alves@empresa.com,95820327.0,2026-02-05 01:42:11.737363 UTC,28/12/2023
ATIVO,25/03/2025,BRUNA BARBOSA BARBOSA,QNV-7219,ONIX HATCH ACTIV 1.4 8V Flex 5P Aut.,"R$ 62.115,00",Leves,Cascavel,PR,(85) 95842-5998,,26/03/2025,05/04/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",751538023531278.0,Azimute,letícia.oliveira.melo@ficticio.com.br,3132729.0,2026-02-05 01:42:11.737363 UTC,08/04/2025
ATIVO,18/12/2025,GABRIEL BARBOSA BARBOSA,OKV-5945,AMAROK Highline CD 3.0 4x4 TB Dies. Aut.,"R$ 146.275,00",Leves,Cascavel,PR,(23) 97041-5513,,19/12/2025,29/12/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",105813368631542.0,Azimute,larissa.barbosa.cardoso@ficticio.com.br,74118310.0,2026-02-05 01:42:11.737363 UTC,31/12/2025
ATIVO,21/08/2025,FERNaNda FErreiRA GoMEs,QZM-5089,Fusion Titanium 2.0 GTDI Eco. Fwd Aut.,"R$ 72.069,00",Leves,Cascavel,PR,,,22/08/2025,31/08/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",995774440902263.0,Azimute,bruna.gomes.costa@outlook.com,63546150.0,2026-02-05 01:42:11.737363 UTC,04/09/2025
ATIVO,15/08/2025,MARIA   RIBEIRO   OLIVEIRA´@,KUB-8667,Corolla GLi 1.8 Flex 16V Aut.,"R$ 75.170,00",Leves,Cascavel,PR,(36) 92639-7,"27/08/25 - Primeiro contato realizado, associado confirmou a instalação
29/08/25 - Rastreador enviado
08/09/25 - Cobrança para instalação realizada",10/09/2025,20/09/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",478875708668100.0,Azimute,bruna.gomes.rocha@ficticio.com.br,86703781.0,2026-02-05 01:42:11.737363 UTC,24/09/2025
ATIVO,26/12/2025,MARIA SANTOS ARAÚJO,HGO-4131,HB20S Comfort Style 1.0 TB Flex 12V Mec.,"R$ 52.426,00",Leves,Cascavel,PR,(42) 93081-2213,,30/12/2025,09/01/2026,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",740931166309940.0,Azimute,larissa.silva.araújo@gmail.com,78086145.0,2026-02-05 01:42:11.737363 UTC,13/01/2026
ATIVO,23/07/2025,BRUNA ALVES MELO,MCC-8879,208 Griffe 1.6 Flex 16V 5p Aut.,"R$ 88.993,00",Leves,Cascavel,PR,(15) 97655-8431,,27/07/2025,03/08/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",850348891929063.0,Azimute,rodrigo.costa.ferreira@hotmail.com,98759753.0,2026-02-05 01:42:11.737363 UTC,07/08/2025
ATIVO,15/07/2025,BRUNA ALVES ALVES,XAR-4940,F-1000 Super Diesel / Super Diesel Turbo,"R$ 40.000,00","Vans, Pick-ups, Furgões, SUV's, Utilitários Caminhonetes e Caminhões até 4T",Cascavel,PR,(28) 97032-3210,,18/07/2025,28/07/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",763644555338090.0,Azimute,letícia.carvalho.barbosa@outlook.com,24847735.0,2026-02-05 01:42:11.737363 UTC,31/07/2025
ATIVO,27/10/2025,JOÃO SILVA CARDOSO,RLF-5724,Ka 1.0 8V/1.0 8V ST Flex 3p,"R$ 25.673,00",Leves,Cascavel,PR,(75) 90948-8505,,31/10/2025,09/11/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",436144818314960.0,Azimute,julia.silva.cardoso@hotmail.com,13468145.0,2026-02-05 01:42:11.737363 UTC,09/11/2025
ATIVO,20/10/2025,BRUNA MELO ALVES,ZLZ-5645,Durango Crew 3.6 24V 4x4 Aut.,"R$ 86.859,00",Leves,Cascavel,PR,(19) 95617-9757,APARELHO DO ANTIGO VEICULO REMOVIDO,21/10/2025,29/10/2025,ENTREGUE,NÃO,PENDENTE,OFICINA SUL,"R$ 150,00",778561230420634.0,Azimute,larissa.cardoso.almeida@outlook.com,55199816.0,2026-02-05 01:42:11.737363 UTC,
ATIVO,08/10/2025,ANA FERREIRA GOMES,SQR-0749,ARGO DRIVE 1.3 8V Flex,"R$ 50.749,00",Leves,Cascavel,PR,,,09/10/2025,18/10/2025,ENTREGUE,NÃO,PENDENTE,OFICINA CENTRAL,"R$ 150,00",,,,,2026-02-05 01:42:11.737363 UTC,
ATIVO,02/01/2026,Mariana Souza Oliveira,ATF-2727,COROLLA,"R$ 97.000,00",Leves,Cascavel,PR,(41) 91921-1600,,06/01/2026,13/01/2026,ENTREGUE,NÃO,PENDENTE,OFICINA SUL,"R$ 80,00",373013.0,Azimute,mariana41,738349.0,2026-02-11 17:34:11.168882 UTC,
ATIVO,29/01/2026,Pedro Santos Silva,QJI-5582,STRADA,"R$ 140.000,00",Leves,Cascavel,PR,(68) 92242-8783,,01/02/2026,07/02/2026,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 100,00",857929.0,Azimute,pedro18,326320.0,2026-02-11 17:34:11.170396 UTC,10/02/2026
ATIVO,04/07/2025,Patricia Pereira Barros,RBG-5462,COROLLA,"R$ 373.000,00",Leves,Cascavel,PR,(31) 91649-8690,,14/07/2025,26/07/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 100,00",61740696.0,Azimute,patricia46,577675.0,2026-02-11 17:35:21.274243 UTC,31/07/2025
ATIVO,04/09/2024,Diego Pereira Silva,IPQ-8121,CIVIC,"R$ 496.000,00",Leves,Cascavel,PR,(86) 92760-4656,,11/09/2024,20/09/2024,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 100,00",39955967.0,Azimute,diego79,210406.0,2026-02-11 17:35:21.274349 UTC,21/09/2024
ATIVO,07/06/2025,Juliana Monteiro Lima,AEC-8101,STRADA,"R$ 414.000,00",Leves,Cascavel,PR,(82) 91766-1800,,14/06/2025,27/06/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 120,00",56560866.0,Azimute,juliana98,675257.0,2026-02-11 17:35:21.280441 UTC,02/07/2025
ATIVO,18/07/2024,Patricia Mendes Almeida,GZL-5380,FH 540,"R$ 258.000,00",Pesados,Cascavel,PR,(87) 96516-5712,,26/07/2024,03/08/2024,ENTREGUE,NÃO,PENDENTE,OFICINA CENTRAL,"R$ 120,00",31795967.0,Azimute,patricia95,764529.0,2026-02-11 17:35:21.300780 UTC,
ATIVO,02/12/2025,Patricia Pereira Barros,LYV-4415,FH 540,"R$ 120.000,00",Pesados,Cascavel,PR,(44) 99200-2709,,09/12/2025,17/12/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 80,00",22557562.0,Azimute,patricia66,737407.0,2026-02-11 17:35:21.304350 UTC,17/12/2025
ATIVO,11/12/2023,Ricardo Alves Teixeira,ESP-8774,ONIX,"R$ 164.000,00",Leves,Cascavel,PR,(24) 99583-6579,,20/12/2023,25/12/2023,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 80,00",49707780.0,Azimute,ricardo81,231801.0,2026-02-11 17:38:17.987421 UTC,26/12/2023
ATIVO,29/10/2023,Paulo Santos Ferreira,QZN-0311,ACTROS,"R$ 522.000,00",Pesados,Cascavel,PR,(17) 96878-1221,,02/11/2023,06/11/2023,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 90,00",85176700.0,Azimute,paulo23,692926.0,2026-02-11 17:38:17.989785 UTC,07/11/2023
ATIVO,23/06/2025,Thiago Monteiro Alves,XEY-0732,HB20,"R$ 51.000,00",Leves,Cascavel,PR,(19) 99768-3928,,27/06/2025,02/07/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 90,00",68449270.0,Azimute,thiago10,900311.0,2026-02-11 17:38:17.992982 UTC,03/07/2025
ATIVO,09/02/2025,Felipe Lima Barros,VLJ-3392,STRADA,"R$ 401.000,00",Leves,Cascavel,PR,(67) 91978-2853,,19/02/2025,06/03/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 80,00",40806498.0,Azimute,felipe79,805002.0,2026-02-11 17:38:18.006701 UTC,06/03/2025
ATIVO,15/07/2024,Felipe Ribeiro Ribeiro,TOK-1440,FAZER 250,"R$ 382.000,00",Motos,Cascavel,PR,(35) 97703-5280,,22/07/2024,29/07/2024,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 100,00",80534437.0,Azimute,felipe32,597992.0,2026-02-11 17:38:18.017580 UTC,03/08/2024
ATIVO,24/03/2025,Marcelo Nascimento Ribeiro,VVP-9802,KWID,"R$ 443.000,00",Leves,Cascavel,PR,(68) 91239-4631,,25/03/2025,04/04/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 80,00",43761894.0,Azimute,marcelo62,660531.0,2026-02-11 17:38:18.017777 UTC,05/04/2025
ATIVO,12/06/2025,Bruno Araujo Souza,NVO-4086,FAZER 250,"R$ 168.000,00",Motos,Cascavel,PR,(43) 91946-8563,,17/06/2025,27/06/2025,ENTREGUE,NÃO,PENDENTE,OFICINA CENTRAL,"R$ 80,00",41803982.0,Azimute,bruno32,471868.0,2026-02-11 17:38:18.020537 UTC,
ATIVO,12/07/2025,Roberto Barbosa Gomes,JBC-0664,KWID,"R$ 188.000,00",Leves,Cascavel,PR,(71) 98782-9782,,15/07/2025,19/07/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 100,00",82622851.0,Azimute,roberto21,182098.0,2026-02-11 17:38:18.033248 UTC,23/07/2025
ATIVO,4/3/2024,gabriel gomes martins,JIS-3148,1418 3-Eixos 2p (diesel),"R$ 131.544,00",CAMINHãO,Cascavel,RS,TEL: (53) 94545-2610,Gerado automaticamente para sincronização,06/03/2024,15/03/2024,ENTREGUE,NÃO,PENDENTE,OFICINA ROTA 66,"R$ 150,00",22728236.0,Azimute,gabriel76,865680.0,2026-02-12 17:54:18.893939 UTC,
ATIVO,21/2/2025,PEDRO SOUZA ALMEIDA,CQH-7617,17-260 E Constel. 4x2 2p (diesel) (E5),"R$ 427.197,00",CAMINHãO,Cascavel,PR,(98) 94761-8207,Gerado automaticamente para sincronização,26/02/2025,05/03/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 90,00",78871237.0,Azimute,pedro98,940212.0,2026-02-12 17:54:18.894963 UTC,10/03/2025
ATIVO,20/7/2025,@MARIA  SANTOS  LIMA,PEZ-1523,24-280 E Constel. 6x2 2p (diesel)(E5),"R$ 222.004,00",CAMINHãO,Cascavel,PR,TEL: (70) 95361-1539,Gerado automaticamente para sincronização,21/07/2025,29/07/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 90,00",61553727.0,Azimute,@maria83,541805.0,2026-02-12 17:54:18.897730 UTC,30/07/2025
ATIVO,15/5/2024,RoDrigo almeiDa FErrEIrA~,MRA-0762,25-370 E Constel. 6x2 Tractor 2p (dies.),"R$ 219.151,00",CAMINHãO,Cascavel,PR,TEL: (36) 95960-1777,Gerado automaticamente para sincronização,16/05/2024,18/05/2024,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",73310598.0,Azimute,rodrigo56,289198.0,2026-02-12 17:54:18.897995 UTC,23/05/2024
ATIVO,14/11/2023,LETÍCIA GOMES OLIVEIRA,IUD-9451,Actros 2651 S 6x4 2p (diesel)(E5),"R$ 658.472,00",CAMINHãO,Cascavel,PR,(22) 96351-8906,Gerado automaticamente para sincronização,18/11/2023,22/11/2023,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 80,00",76873636.0,Azimute,letícia56,432504.0,2026-02-12 17:54:18.902854 UTC,23/11/2023
ATIVO,7/11/2023,$fernanda costa souza,XAN-0971,Actros 2651 S 6x4 2p (diesel)(E5),"R$ 612.700,00",CAMINHãO,Cascavel,RS,TEL: (28) 95639-3556,Gerado automaticamente para sincronização,15/11/2023,21/11/2023,ENTREGUE,SIM,INSTALADO,OFICINA ROTA 66,"R$ 150,00",50933533.0,Azimute,$fernanda16,649744.0,2026-02-12 17:54:18.903354 UTC,21/11/2023
ATIVO,20/1/2024,JULIA RODRIGUES CARVALHO,XAD-6269,Axor 2644 S 6x4 2p (diesel),"R$ 333.496,00",CAMINHãO,Cascavel,PR,(73) 91632-3197,Gerado automaticamente para sincronização,25/01/2024,01/02/2024,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 80,00",26688641.0,Azimute,julia83,902210.0,2026-02-12 17:54:18.905919 UTC,06/02/2024
ATIVO,23/4/2024,JULIA MELO ROCHA*,XCO-4365,FH-12 380 GLOBETROTTER 4x2 2p (diesel),"R$ 115.954,00",CAMINHãO,Cascavel,MG,,Gerado automaticamente para sincronização,24/04/2024,29/04/2024,ENTREGUE,SIM,INSTALADO,EQUIPADORA PRIME,"R$ 150,00",23785569.0,Azimute,julia64,339343.0,2026-02-12 17:54:18.914421 UTC,03/05/2024
ATIVO,26/10/2023,LARISSA ROCHA BARBOSA,GVG-8206,FH-540 6x4 2p (diesel) (E5),"R$ 882.375,00",CAMINHãO,Cascavel,RS,(64) 90646-3454,Gerado automaticamente para sincronização,03/11/2023,15/11/2023,ENTREGUE,SIM,INSTALADO,TECH SANTOS,"R$ 100,00",21491276.0,Azimute,larissa93,264061.0,2026-02-12 17:54:18.916643 UTC,17/11/2023
ATIVO,27/12/2024,RAFAEL MARTINS SANTOS%,ZXQ-1027,G-420 A 6x4 2p (diesel),"R$ 242.204,00",CAMINHãO,Cascavel,PR,,Gerado automaticamente para sincronização,02/01/2025,16/01/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",37635236.0,Azimute,rafael59,147271.0,2026-02-12 17:54:18.920177 UTC,20/01/2025
ATIVO,11/10/2024,RICARDO LIMA CARVALHO,WUG-1225,G-560 A 6x4 XT (diesel)(E6),"R$ 989.671,00",CAMINHãO,Cascavel,RS,(90) 97060-2128,Gerado automaticamente para sincronização,18/10/2024,27/10/2024,ENTREGUE,SIM,INSTALADO,TECH SANTOS,"R$ 120,00",54118937.0,Azimute,ricardo37,278983.0,2026-02-12 17:54:18.920848 UTC,29/10/2024
ATIVO,15/9/2024,PEDRO ALMEIDA SOUZA~,JBJ-2609,LS-1938 2p (diesel),"R$ 99.087,00",CAMINHãO,Cascavel,PR,49972492276,Gerado automaticamente para sincronização,16/09/2024,24/09/2024,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",34319346.0,Azimute,pedro67,354481.0,2026-02-12 17:54:18.924461 UTC,24/09/2024
ATIVO,1/9/2024,T-iago mELO aRaújO,DOA-6882,P-310 A 4x2 2p (diesel) (E5),"R$ 409.820,00",CAMINHãO,Cascavel,PR,72960899254,Gerado automaticamente para sincronização,08/09/2024,14/09/2024,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 120,00",85504996.0,Azimute,t-iago4,505034.0,2026-02-12 17:54:18.925549 UTC,17/09/2024
ATIVO,18/06/2024,*caMilA  sAntOs  RocHa,LWY-1754,Palio ATTRACTIVE 1.0 EVO Fire Flex 8v 5p,"R$ 185.820,00",CAMINHãO,Cascavel,PR,,Gerado automaticamente para sincronização,21/06/2024,28/06/2024,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 100,00",55187947.0,Azimute,*camila76,125195.0,2026-02-12 17:54:18.927588 UTC,03/07/2024
ATIVO,27/11/2023,MATEUS RIBEIRO RODRIGUES,YRL-1606,R-114 GA 380 4x2 NZ 2p (diesel),"R$ 178.960,00",CAMINHãO,Cascavel,PR,(84) 94378-8290,Gerado automaticamente para sincronização,02/12/2023,04/12/2023,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 100,00",13435532.0,Azimute,mateus7,469920.0,2026-02-12 17:54:18.927865 UTC,07/12/2023
ATIVO,10/6/2024,RODR´IGO SILVA SANTOS,STK-3174,R-124 GA 360 4x2 NZ 2p (diesel) / Millen,"R$ 160.110,00",CAMINHãO,Cascavel,SC,,Gerado automaticamente para sincronização,20/06/2024,25/06/2024,ENTREGUE,SIM,INSTALADO,CENTRO AUTOMOTIVO TOTAL,"R$ 150,00",70762376.0,Azimute,rodr´igo18,709474.0,2026-02-12 17:54:18.928249 UTC,29/06/2024
ATIVO,20/6/2024,AMANDA ARAÚJO MARTINS,SRK-6916,R-124 GA 400 4x2 NZ 2p (diesel),"R$ 151.491,00",CAMINHãO,Cascavel,SP,49912721315,Gerado automaticamente para sincronização,26/06/2024,03/07/2024,ENTREGUE,SIM,INSTALADO,SOM E ACESSÓRIOS POTENCIA,"R$ 150,00",62506851.0,Azimute,amanda42,697069.0,2026-02-12 17:54:18.928951 UTC,07/07/2024
ATIVO,28/6/2024,joão rodrigues ribeiro,QOP-8266,R-124 LA 400 6x2 NA 2p (diesel),"R$ 154.982,00",CAMINHãO,Cascavel,PR,TEL: (27) 94309-9306,Gerado automaticamente para sincronização,08/07/2024,22/07/2024,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 80,00",99803971.0,Azimute,joão88,428840.0,2026-02-12 17:54:18.929656 UTC,27/07/2024
ATIVO,11/4/2025,BEATRIZ COSTA BARBOSA,HNT-6262,R-440 A 4x2 2p (diesel) (E5),"R$ 294.220,00",CAMINHãO,Cascavel,PR,(39) 95836-7234,Gerado automaticamente para sincronização,13/04/2025,17/04/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",54432895.0,Azimute,beatriz10,264715.0,2026-02-12 17:54:18.930139 UTC,19/04/2025
ATIVO,1/7/2024,CAMILA ALVES ROCHA,CKE-7870,SR/GUERRA AG GR,"R$ 120.000,00",CAMINHãO,Cascavel,MG,(97) 99514-7249,Gerado automaticamente para sincronização,09/07/2024,17/07/2024,ENTREGUE,NÃO,INSTALADO,EQUIPADORA PRIME,"R$ 90,00",21402588.0,Azimute,camila24,858837.0,2026-02-12 17:54:18.930927 UTC,20/07/2024
ATIVO,5/5/2024,MARIA BARBOSA MARTINS,MGT-5553,T-113 H 320 4x2 2p (diesel),"R$ 88.352,00",CAMINHãO,Cascavel,SC,(24) 95988-4829,Gerado automaticamente para sincronização,06/05/2024,09/05/2024,ENTREGUE,NÃO,PENDENTE,CENTRO AUTOMOTIVO TOTAL,"R$ 80,00",70350852.0,Azimute,maria54,652612.0,2026-02-12 17:54:18.933220 UTC,
ATIVO,28/3/2025,RICARDO RODRIGUES MARTINS,MPH-8446,VM 270 6x4 2p (diesel) (E5),"R$ 221.012,00",CAMINHãO,Cascavel,PR,(83) 97787-5271,Gerado automaticamente para sincronização,01/04/2025,07/04/2025,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 80,00",25474451.0,Azimute,ricardo86,442090.0,2026-02-12 17:54:18.935814 UTC,08/04/2025
ATIVO,26/9/2024,BRUNA MELO ALVES,MGE-7084,XF FT530 4x2 Space Cab (diesel)(E5),"R$ 583.193,00",CAMINHãO,Cascavel,PR,(54) 97096-3865,Gerado automaticamente para sincronização,01/10/2024,08/10/2024,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 90,00",31831714.0,Azimute,bruna64,372988.0,2026-02-12 17:54:18.936523 UTC,11/10/2024
ATIVO,10/1/2026,#ERROR!,YHR-3351,408 Sedan Allure 2.0 Flex 16V 4p Mec.,"R$ 29.015,00",Leves,Cascavel,PR,80924136496,Gerado automaticamente para sincronização,18/01/2026,30/01/2026,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 90,00",91207187.0,Azimute,#error!30,311220.0,2026-02-12 17:54:18.940885 UTC,02/02/2026
ATIVO,23/12/2024,_RICARDO   ALMEIDA   SILVA,LAG-2751,C3 Tendance 1.5 Flex 8V 5p Mec.,"R$ 39.123,00",Leves,Cascavel,RS,(90) 99648-8,Gerado automaticamente para sincronização,24/12/2024,26/12/2024,ENTREGUE,SIM,INSTALADO,OFICINA CONFIANÇA,"R$ 120,00",40916949.0,Azimute,_ricardo71,100465.0,2026-02-12 17:54:18.943534 UTC,26/12/2024
ATIVO,13/08/2025,TIAGO CARVALHO ALMEIDA,PYC-5533,Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p,"R$ 34.045,00",Leves,Cascavel,PR,(44) 92370-1359,Gerado automaticamente para sincronização,20/08/2025,30/08/2025,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",13167014.0,Azimute,tiago26,386530.0,2026-02-12 17:54:18.946742 UTC,30/08/2025
